Distance (mm),T (C),P (atm),H2,O2,H2O,CH4,CO,CO2,AR,PT(S),H(S),H2O(S),OH(S),CO(S),CO2(S),CH3(S),CH2(S),CH(S),C(S),O(S)
7.83100242788572e-05,800.0000000000001,0.9999999999999297,0.003891568509117158,0.09349604416132798,0.4819876257092242,0.13944654981890048,0.007700467469704337,0.23523912963884303,0.03823861469288284,0.7610699346481985,8.445952094612813e-06,0.0007783174756394502,0.010354388153527268,0.005801246892037599,2.3747639870001872e-07,4.864345635418965e-06,9.96431622954943e-09,3.202912564765822e-11,2.150378394337756e-06,0.22198040468172797
7.835331282801043e-05,800.0000000000001,0.99999999999993,0.0038888708441276354,0.09334712883696403,0.4821390852985779,0.1393723083112635,0.007702439971059165,0.23531153809967031,0.038238628638337345,0.7616995356092913,8.437849954719253e-06,0.0007792039488909131,0.010355959250699131,0.005807727808429108,2.3760328182390283e-07,4.861609869831457e-06,9.96660080249532e-09,3.203646864149199e-11,2.157152364430699e-06,0.22134186916858165
7.839660137716366e-05,800.0000000000001,0.9999999999999297,0.003886448412065078,0.0932130903428844,0.4822754171728086,0.139305470910099,0.007704252339539999,0.23537668045227358,0.038238640370329306,0.762269405284822,8.430620607722836e-06,0.0007800054561664196,0.010357417391134091,0.005813616873747441,2.377182137819342e-07,4.859161047435549e-06,9.968716691726662e-09,3.2043269454011334e-11,2.1633284947122297e-06,0.22076385416500638
7.843556107140157e-05,800.0000000000001,0.9999999999999297,0.0038840312320225553,0.09307903729893516,0.48241176696730126,0.13923861408423738,0.007706100216493478,0.23544179888254482,0.038238651318465613,0.762842370887768,8.423451978627558e-06,0.0007808104928868983,0.010358918202746072,0.005819559877705038,2.3783385174535246e-07,4.856725153105545e-06,9.970890206863063e-09,3.205025548170453e-11,2.1695814839315162e-06,0.2201826429434862
7.847452076563947e-05,800.0000000000001,0.9999999999999297,0.003881619376933336,0.09294496909606688,0.48254813530532914,0.1391717374063395,0.00770798394101009,0.23550689339949823,0.03823866147482285,0.7634184691157867,8.41634551207989e-06,0.0007816191004645351,0.010360462522733836,0.005825557470233661,2.3795020330128727e-07,4.854302450755649e-06,9.973122341076767e-09,3.2057429916661056e-11,2.1759128207123646e-06,0.21959819727461516
7.851348045987738e-05,800.0000000000001,0.9999999999999296,0.003879212921964868,0.09281088511560194,0.4826845228194276,0.13910484044162394,0.007709903858761098,0.2355719640113128,0.03823867083130787,0.7639977375831734,8.40930270523997e-06,0.0007824313213050264,0.010362051212830436,0.005831610316040385,2.3806727624294676e-07,4.851893212592069e-06,9.975414117290536e-09,3.2064796046588214e-11,2.1823240402206244e-06,0.21901047797193787
7.855244015411528e-05,800.0000000000001,0.9999999999999297,0.003876811944609845,0.0926767847288755,0.48282093015172634,0.139037922747591,0.0077118603222336105,0.23563701072531193,0.03823867937965173,0.7645802149326333,8.402325046811034e-06,0.0007832471989366642,0.010363685161541854,0.005837719095903198,2.3818507858006887e-07,4.849497719784047e-06,9.977766590839496e-09,3.207235726337379e-11,2.1888167054856544e-06,0.21841944477659517
7.859139984835319e-05,800.0000000000001,0.9999999999999297,0.0038744165247918076,0.09254266729682446,0.4829573579543358,0.13897098387370502,0.007713853691002016,0.23570203354793834,0.03823868711140256,0.7651659408793728,8.395414100904984e-06,0.0007840667780629912,0.010365365285052174,0.005843884507338456,2.3830361854191543e-07,4.847116262711155e-06,9.98018085053638e-09,3.208011706650008e-11,2.195392441268919e-06,0.21782505631148924
7.863035954259109e-05,800.0000000000001,0.9999999999999297,0.0038722654667228216,0.09242194649743918,0.48308016102601914,0.13891072039941785,0.007715679579967745,0.23576053366577893,0.03823869336465443,0.7656959054436631,8.389252632425046e-06,0.0007848076019089472,0.010366917655298503,0.005849482387477084,2.3841094216552125e-07,4.844985199472154e-06,9.982407438532538e-09,3.208727366040541e-11,2.2013830154364622e-06,0.21728720286536835
7.866542326740521e-05,800.0000000000001,0.9999999999999297,0.003870119038872121,0.09230121088391242,0.48320298170518117,0.13885043905759503,0.007717535931888347,0.23581901443951347,0.03823869894303762,0.7662285648574471,8.38314770698003e-06,0.0007855514953293407,0.01036850890010502,0.005855127250148115,2.385188764525174e-07,4.8428659733145905e-06,9.984685825424543e-09,3.2094596740609543e-11,2.207443484300322e-06,0.21674656550414886
